Indicateur du ; 20/01/2014
Nobody ;
Total ; 82
Nouveau ; 0
Ouvert ; 5
Stagnant ; 77
Stagnant sans Motif Delai ;
Total ; 13
Stagnant avec Motif Delai ;
Total ; 64
Attente materiel ; 1
Attente Periode Creuse ; 0
Attente reponse etablissement ; 27
Attente reponse RECIA ; 30
Attente retour niveau 2 ; 0
Deplacement Programme ; 0
En cours de developpement ; 0
Intervention programmee ; 5
File - 01 - En attente de PEC ;
Total ; 0
Nouveau ; 0
Ouvert ; 0
Stagnant ; 0
Resolu ; 0
Nobody - Nouveau ; 0
Nobody - Ouvert ; 0
Nobody - Stagnant ; 0
Nobody - Resolu ; 0
TG - Nouveau ; 0
TG - Ouvert ; 0
TG - Stagnant ; 0
TG - Resolu ; 0
Recia - Nouveau ; 0
Recia - Ouvert ; 0
Recia - Stagnant ; 0
Recia - Resolu ; 0
File - 02 - Incidents ;
Total ; 46
Nouveau ; 0
Ouvert ; 13
Stagnant ; 33
Resolu ; 21
Nobody - Nouveau ; 0
Nobody - Ouvert ; 0
Nobody - Stagnant ; 15
Nobody - Resolu ; 0
TG - Nouveau ; 0
TG - Ouvert ; 2
TG - Stagnant ; 13
TG - Resolu ; 19
Recia - Nouveau ; 0
Recia - Ouvert ; 11
Recia - Stagnant ; 5
Recia - Resolu ; 2
File - 02.1 - Incidents ProActifs ;
Total ; 0
Nouveau ; 0
Ouvert ; 0
Stagnant ; 0
Resolu ; 7
Nobody - Nouveau ; 0
Nobody - Ouvert ; 0
Nobody - Stagnant ; 0
Nobody - Resolu ; 0
TG - Nouveau ; 0
TG - Ouvert ; 0
TG - Stagnant ; 0
TG - Resolu ; 7
Recia - Nouveau ; 0
Recia - Ouvert ; 0
Recia - Stagnant ; 0
Recia - Resolu ; 0
File - 03 - SFR (Incidents) ;
Total ; 3
Nouveau ; 0
Ouvert ; 1
Stagnant ; 2
Resolu ; 0
Nobody - Nouveau ; 0
Nobody - Ouvert ; 0
Nobody - Stagnant ; 1
Nobody - Resolu ; 0
TG - Nouveau ; 0
TG - Ouvert ; 0
TG - Stagnant ; 0
TG - Resolu ; 0
Recia - Nouveau ; 0
Recia - Ouvert ; 1
Recia - Stagnant ; 1
Recia - Resolu ; 0
File - 04 - Travaux Niveau I ;
Total ; 337
Nouveau ; 0
Ouvert ; 58
Stagnant ; 279
Resolu ; 32
Nobody - Nouveau ; 0
Nobody - Ouvert ; 5
Nobody - Stagnant ; 53
Nobody - Resolu ; 1
TG - Nouveau ; 0
TG - Ouvert ; 11
TG - Stagnant ; 214
TG - Resolu ; 27
Recia - Nouveau ; 0
Recia - Ouvert ; 42
Recia - Stagnant ; 12
Recia - Resolu ; 4
File - 05 - Travaux Niveau II ;
Total ; 26
Nouveau ; 0
Ouvert ; 14
Stagnant ; 12
Resolu ; 1
Nobody - Nouveau ; 0
Nobody - Ouvert ; 0
Nobody - Stagnant ; 8
Nobody - Resolu ; 0
TG - Nouveau ; 0
TG - Ouvert ; 0
TG - Stagnant ; 0
TG - Resolu ; 0
Recia - Nouveau ; 0
Recia - Ouvert ; 14
Recia - Stagnant ; 4
Recia - Resolu ; 1
